Play time;Play date
0:2:12;22.05.2021 11:20:03
0:0:35;22.05.2021 11:22:24
0:1:6;22.05.2021 11:24:20
0:0:24;22.05.2021 11:58:22
0:0:12;22.05.2021 12:01:40
0:0:37;22.05.2021 12:02:45
0:0:19;22.05.2021 12:03:27
0:5:9;22.05.2021 12:12:22
0:0:9;22.05.2021 12:40:47
0:0:20;22.05.2021 12:41:35
0:1:49;23.05.2021 01:22:02
0:0:10;23.05.2021 01:22:27
0:0:25;23.05.2021 01:23:33
0:0:20;23.05.2021 01:28:22
0:0:34;23.05.2021 01:29:06
0:0:23;23.05.2021 01:38:11
0:0:57;23.05.2021 01:43:58
0:1:9;23.05.2021 01:45:12
0:0:18;23.05.2021 01:46:01
0:1:25;23.05.2021 01:47:40
0:0:10;23.05.2021 01:47:56
0:0:27;23.05.2021 01:48:31
0:1:17;23.05.2021 01:51:26
0:0:18;23.05.2021 01:51:49
0:0:4;23.05.2021 01:52:45
0:0:50;23.05.2021 01:53:39
0:0:16;23.05.2021 01:54:14
0:0:32;23.05.2021 01:55:04
0:0:57;23.05.2021 01:56:37
0:1:0;23.05.2021 01:58:03
0:0:49;23.05.2021 01:59:42
0:1:38;23.05.2021 02:05:53
0:0:30;23.05.2021 02:16:24
0:0:54;23.05.2021 02:19:18
0:3:40;23.05.2021 02:23:13
0:0:25;23.05.2021 02:30:26
0:0:7;23.05.2021 02:32:03
0:0:22;23.05.2021 02:33:07
0:0:30;23.05.2021 02:35:16
0:0:20;23.05.2021 02:36:36
0:0:14;23.05.2021 02:37:14
0:0:7;23.05.2021 02:37:43
0:1:3;23.05.2021 02:39:15
0:0:7;23.05.2021 02:42:54
0:0:58;23.05.2021 02:44:02
0:0:9;23.05.2021 02:44:15
0:0:31;23.05.2021 02:53:08
0:0:26;23.05.2021 02:54:30
0:0:30;23.05.2021 02:55:42
0:0:10;23.05.2021 02:56:11
0:0:19;23.05.2021 02:56:45
0:0:9;23.05.2021 02:56:57
0:0:39;23.05.2021 02:58:34
0:0:3;23.05.2021 03:04:02
0:0:8;23.05.2021 03:05:07
0:0:19;23.05.2021 03:07:03
0:0:13;23.05.2021 03:07:21
0:0:28;23.05.2021 03:08:36
0:0:41;23.05.2021 03:09:42
0:0:39;23.05.2021 03:14:58
0:0:10;23.05.2021 03:16:00
0:0:15;23.05.2021 03:16:23
0:0:9;23.05.2021 03:16:50
0:0:8;23.05.2021 03:18:06
0:0:10;23.05.2021 03:18:33
0:0:47;23.05.2021 03:19:25
0:0:33;24.05.2021 03:08:35
0:0:24;24.05.2021 03:09:27
0:0:1;24.05.2021 03:10:06
0:0:29;24.05.2021 03:20:07
0:0:8;24.05.2021 03:21:46
0:0:5;24.05.2021 03:22:07
0:0:13;24.05.2021 03:22:43
0:0:36;24.05.2021 03:24:05
0:1:11;24.05.2021 03:25:26
0:0:25;24.05.2021 15:28:01
0:1:36;24.05.2021 16:48:49
0:0:5;24.05.2021 17:30:12
0:0:18;24.05.2021 17:34:38
0:0:27;24.05.2021 17:38:04
0:0:11;24.05.2021 18:16:14
0:0:34;26.05.2021 10:49:24
0:0:12;26.05.2021 10:50:37
0:0:25;26.05.2021 12:12:11
0:0:16;26.05.2021 12:15:08
0:1:6;26.05.2021 12:17:02
0:1:10;26.05.2021 12:18:17
0:1:36;26.05.2021 12:20:05
